AnnoA;ClasseNUMERO;ClasseNOME;SESSO;Isc
2018/2019;LM-51;Psicologia;M;4178
2018/2019;LM-52;Relazioni internazionali;F;4312
2018/2019;LM-52;Relazioni internazionali;M;2866
2018/2019;LM-53;Scienza e ingegneria dei materiali;F;550
2018/2019;LM-53;Scienza e ingegneria dei materiali;M;1231
2018/2019;LM-54;Scienze chimiche;F;1480
2018/2019;LM-54;Scienze chimiche;M;1561
2018/2019;LM-55;Scienze cognitive;F;251
2018/2019;LM-55;Scienze cognitive;M;104
2018/2019;LM-56;Scienze dell'economia;F;5724
2018/2019;LM-56;Scienze dell'economia;M;7506
2018/2019;LM-57;Scienze dell'educazione degli adulti e della formazione continua;F;1364
2018/2019;LM-57;Scienze dell'educazione degli adulti e della formazione continua;M;187
2018/2019;LM-58;Scienze dell'universo;F;114
2018/2019;LM-58;Scienze dell'universo;M;189
2018/2019;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;F;3369
2018/2019;LM-59;Scienze della comunicazione pubblica, d'impresa e pubblicità;M;1410
2018/2019;LM-60;Scienze della natura;F;487
2018/2019;LM-60;Scienze della natura;M;347
2018/2019;LM-61;Scienze della nutrizione umana;F;3063
2018/2019;LM-61;Scienze della nutrizione umana;M;1270
2018/2019;LM-62;Scienze della politica;F;1423
2018/2019;LM-62;Scienze della politica;M;1510
2018/2019;LM-63;Scienze delle pubbliche amministrazioni;F;2270
2018/2019;LM-63;Scienze delle pubbliche amministrazioni;M;1695
2018/2019;LM-64;Scienze delle religioni;F;80
2018/2019;LM-64;Scienze delle religioni;M;79
2018/2019;LM-65;Scienze dello spettacolo e produzione multimediale;F;1613
2018/2019;LM-65;Scienze dello spettacolo e produzione multimediale;M;844
2018/2019;LM-66;Sicurezza informatica;F;48
2018/2019;LM-66;Sicurezza informatica;M;232
2018/2019;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;F;2235
2018/2019;LM-67;Scienze e tecniche delle attività motorie preventive e adattate;M;3229
2018/2019;LM-68;Scienze e tecniche dello sport;F;554
2018/2019;LM-68;Scienze e tecniche dello sport;M;1812
2018/2019;LM-69;Scienze e tecnologie agrarie;F;948
2018/2019;LM-69;Scienze e tecnologie agrarie;M;2119
2018/2019;LM-70;Scienze e tecnologie alimentari;F;1628
2018/2019;LM-70;Scienze e tecnologie alimentari;M;1155
2018/2019;LM-71;Scienze e tecnologie della chimica industriale;F;328
2018/2019;LM-71;Scienze e tecnologie della chimica industriale;M;484
2018/2019;LM-72;Scienze e tecnologie della navigazione;F;29
2018/2019;LM-72;Scienze e tecnologie della navigazione;M;79
2018/2019;LM-73;Scienze e tecnologie forestali ed ambientali;F;357
2018/2019;LM-73;Scienze e tecnologie forestali ed ambientali;M;591
2018/2019;LM-74;Scienze e tecnologie geologiche;F;770
2018/2019;LM-74;Scienze e tecnologie geologiche;M;1252
2018/2019;LM-75;Scienze e tecnologie per l'ambiente e il territorio;F;665
2018/2019;LM-75;Scienze e tecnologie per l'ambiente e il territorio;M;591
2018/2019;LM-76;Scienze economiche per l'ambiente e la cultura;F;972
2018/2019;LM-76;Scienze economiche per l'ambiente e la cultura;M;349
2018/2019;LM-77;Scienze economico-aziendali;F;20281
2018/2019;LM-77;Scienze economico-aziendali;M;20906
2018/2019;LM-78;Scienze filosofiche;F;2345
2018/2019;LM-78;Scienze filosofiche;M;2476
2018/2019;LM-79;Scienze geofisiche;F;68
2018/2019;LM-79;Scienze geofisiche;M;77
2018/2019;LM-80;Scienze geografiche;F;130
2018/2019;LM-80;Scienze geografiche;M;134
2018/2019;LM-81;Scienze per la cooperazione allo sviluppo;F;1166
2018/2019;LM-81;Scienze per la cooperazione allo sviluppo;M;541
2018/2019;LM-82;Scienze statistiche;F;740
2018/2019;LM-82;Scienze statistiche;M;791
2018/2019;LM-83;Scienze statistiche attuariali e finanziarie;F;394
2018/2019;LM-83;Scienze statistiche attuariali e finanziarie;M;541
2018/2019;LM-84;Scienze storiche;F;1568
2018/2019;LM-84;Scienze storiche;M;2490
2018/2019;LM-85;Scienze pedagogiche;F;9464
2018/2019;LM-85;Scienze pedagogiche;M;832
2018/2019;LM-85 bis;Scienze della formazione primaria;F;28019
2018/2019;LM-85 bis;Scienze della formazione primaria;M;1665
2018/2019;LM-86;Scienze zootecniche e tecnologie  animali;F;476
2018/2019;LM-86;Scienze zootecniche e tecnologie  animali;M;278
2018/2019;LM-87;Servizio sociale e politiche sociali;F;4228
2018/2019;LM-87;Servizio sociale e politiche sociali;M;417
2018/2019;LM-88;Sociologia e ricerca sociale;F;1855
2018/2019;LM-88;Sociologia e ricerca sociale;M;762
2018/2019;LM-89;Storia dell'arte;F;4091
2018/2019;LM-89;Storia dell'arte;M;920
2018/2019;LM-90;Studi europei;F;395
2018/2019;LM-90;Studi europei;M;335
2018/2019;LM-91;Tecniche e metodi per la societa dell'informazione;F;146
2018/2019;LM-91;Tecniche e metodi per la societa dell'informazione;M;404
2018/2019;LM-92;Teorie della comunicazione;F;1353
2018/2019;LM-92;Teorie della comunicazione;M;606
2018/2019;LM-93;Teorie e metodologie dell'e-learning e della media education;F;31
2018/2019;LM-93;Teorie e metodologie dell'e-learning e della media education;M;8
2018/2019;LM-94;Traduzione specialistica e interpretariato;F;2043
2018/2019;LM-94;Traduzione specialistica e interpretariato;M;366
2018/2019;LMG/01;Magistrali in giurisprudenza;F;74562
2018/2019;LMG/01;Magistrali in giurisprudenza;M;45164
2018/2019;LMR/02;Conservazione e restauro dei beni culturali;F;476
2018/2019;LMR/02;Conservazione e restauro dei beni culturali;M;70
2018/2019;SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;262
2018/2019;SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;119
2018/2019;SNT1/S;Specialistiche nelle scienze infermieristiche e ostetriche;F;6
2018/2019;SNT1/S;Specialistiche nelle scienze infermieristiche e ostetriche;M;4
2018/2019;SNT2;Professioni sanitarie della riabilitazione;F;83
2018/2019;SNT2;Professioni sanitarie della riabilitazione;M;50
2018/2019;SNT2/S;Specialistiche nelle scienze delle professioni sanitarie della riabilitazione;F;2
2018/2019;SNT3;Professioni sanitarie tecniche;F;57
2018/2019;SNT3;Professioni sanitarie tecniche;M;38
2018/2019;SNT3/S;Specialistiche nelle scienze delle professioni sanitarie tecniche;F;2
2018/2019;SNT3/S;Specialistiche nelle scienze delle professioni sanitarie tecniche;M;1
2018/2019;SNT4;Professioni sanitarie della prevenzione;F;11
2018/2019;SNT4;Professioni sanitarie della prevenzione;M;13
2018/2019;SNT4/S;Specialistiche nelle scienze delle professioni sanitarie della prevenzione;M;2
2017/2018;1;Biotecnologie;F;180
2017/2018;1;Biotecnologie;M;72
2017/2018;01/S;Specialistiche in antropologia culturale ed etnologia;F;17
2017/2018;01/S;Specialistiche in antropologia culturale ed etnologia;M;4
2017/2018;2;Scienze dei servizi giuridici;F;239
2017/2018;2;Scienze dei servizi giuridici;M;210
2017/2018;02/S;Specialistiche in archeologia;F;17
2017/2018;02/S;Specialistiche in archeologia;M;9
2017/2018;3;Scienze della mediazione linguistica;F;382
2017/2018;3;Scienze della mediazione linguistica;M;82
2017/2018;03/S;Specialistiche in architettura del paesaggio;F;4
2017/2018;03/S;Specialistiche in architettura del paesaggio;M;4
2017/2018;4;Scienze dell'architettura e dell'ingegneria edile;F;394
2017/2018;4;Scienze dell'architettura e dell'ingegneria edile;M;476
2017/2018;04/S;Specialistiche in architettura e ingegneria edile;F;45
2017/2018;04/S;Specialistiche in architettura e ingegneria edile;M;59
2017/2018;04/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;F;1207
2017/2018;04/S-cu;Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico;M;1110
2017/2018;5;Lettere;F;883
2017/2018;5;Lettere;M;226
2017/2018;05/S;Specialistiche in archivistica e biblioteconomia;F;14
2017/2018;05/S;Specialistiche in archivistica e biblioteconomia;M;1
2017/2018;6;Scienze del servizio sociale;F;319
2017/2018;6;Scienze del servizio sociale;M;31
2017/2018;06/S;Specialistiche in biologia;F;37
2017/2018;06/S;Specialistiche in biologia;M;12
2017/2018;7;Urbanistica e scienze della pianificazione territoriale e ambientale;F;20
2017/2018;7;Urbanistica e scienze della pianificazione territoriale e ambientale;M;68
2017/2018;8;Ingegneria civile e ambientale;F;317
2017/2018;8;Ingegneria civile e ambientale;M;825
2017/2018;08/S;Specialistiche in biotecnologie industriali;F;2
2017/2018;08/S;Specialistiche in biotecnologie industriali;M;1
2017/2018;9;Ingegneria dell'informazione;F;247
2017/2018;9;Ingegneria dell'informazione;M;1421
2017/2018;09/S;Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche;F;9
2017/2018;09/S;Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche;M;2
2017/2018;10;Ingegneria industriale;F;331
2017/2018;10;Ingegneria industriale;M;1631
2017/2018;10/S;Specialistiche in conservazione dei beni architettonici e ambientali;F;1
2017/2018;100/S;Specialistiche in tecniche e metodi per la societa dell'informazione;F;1
2017/2018;100/S;Specialistiche in tecniche e metodi per la societa dell'informazione;M;4
2017/2018;101/S;Specialistiche in teoria della comunicazione;F;12
2017/2018;101/S;Specialistiche in teoria della comunicazione;M;2
2017/2018;102/S;Specialistiche in teoria e tecniche della normazione e dell'informazione giuridica;M;1
2017/2018;103/S;Specialistiche in teorie e metodi del disegno industriale;F;8
2017/2018;103/S;Specialistiche in teorie e metodi del disegno industriale;M;10
2017/2018;104/S;Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica;F;19
2017/2018;104/S;Specialistiche in traduzione letteraria e in traduzione tecnico-scientifica;M;1
2017/2018;11;Lingue e culture moderne;F;947
2017/2018;11;Lingue e culture moderne;M;197
2017/2018;12;Scienze biologiche;F;834
2017/2018;12;Scienze biologiche;M;242
2017/2018;12/S;Specialistiche in conservazione e restauro del patrimonio storico-artistico;F;1
2017/2018;13;Scienze dei beni culturali;F;794
2017/2018;13;Scienze dei beni culturali;M;186
2017/2018;13/S;Specialistiche in editoria, comunicazione multimediale e giornalismo;F;16
2017/2018;13/S;Specialistiche in editoria, comunicazione multimediale e giornalismo;M;10
2017/2018;14;Scienze della comunicazione;F;562
2017/2018;14;Scienze della comunicazione;M;271
2017/2018;14/S;Specialistiche in farmacia e farmacia industriale;F;2893
2017/2018;14/S;Specialistiche in farmacia e farmacia industriale;M;1126
2017/2018;15;Scienze politiche e delle relazioni internazionali;F;393
2017/2018;15;Scienze politiche e delle relazioni internazionali;M;450
2017/2018;15/S;Specialistiche in filologia e letterature dell'antichita;F;10
2017/2018;15/S;Specialistiche in filologia e letterature dell'antichita;M;4
2017/2018;16;Scienze della Terra;F;41
2017/2018;16;Scienze della Terra;M;69
2017/2018;16/S;Specialistiche in filologia moderna;F;60
2017/2018;16/S;Specialistiche in filologia moderna;M;9
2017/2018;17;Scienze dell'economia e della gestione aziendale;F;1662
2017/2018;17;Scienze dell'economia e della gestione aziendale;M;1508
2017/2018;17/S;Specialistiche in filosofia e storia della scienza;F;1
2017/2018;17/S;Specialistiche in filosofia e storia della scienza;M;1
2017/2018;18;Scienze dell'educazione e della formazione;F;1380
2017/2018;18;Scienze dell'educazione e della formazione;M;177
2017/2018;18/S;Specialistiche in filosofia teoretica, morale, politica ed estetica;F;18
2017/2018;18/S;Specialistiche in filosofia teoretica, morale, politica ed estetica;M;13
2017/2018;18-bis;Scienze della Formazione Primaria - Quadriennale;F;1752
2017/2018;18-bis;Scienze della Formazione Primaria - Quadriennale;M;99
2017/2018;19;Scienze dell'amministrazione;F;234
2017/2018;19;Scienze dell'amministrazione;M;211
2017/2018;19/S;Specialistiche in finanza;F;5
2017/2018;19/S;Specialistiche in finanza;M;6
2017/2018;20;Scienze e tecnologie agrarie, agroalimentari e forestali;F;227
2017/2018;20;Scienze e tecnologie agrarie, agroalimentari e forestali;M;374
2017/2018;20/S;Specialistiche in fisica;F;9
2017/2018;20/S;Specialistiche in fisica;M;21
2017/2018;21;Scienze e tecnologie chimiche;F;145
2017/2018;21;Scienze e tecnologie chimiche;M;130
2017/2018;21/S;Specialistiche in geografia;F;4
2017/2018;21/S;Specialistiche in geografia;M;3
2017/2018;22;Scienze e tecnologie della navigazione marittima e aerea;F;3
2017/2018;22;Scienze e tecnologie della navigazione marittima e aerea;M;9
2017/2018;22/S;Specialistiche in giurisprudenza;F;152
2017/2018;22/S;Specialistiche in giurisprudenza;M;75
2017/2018;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;F;179
2017/2018;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;M;89
2017/2018;23/S;Specialistiche in informatica;F;17
2017/2018;23/S;Specialistiche in informatica;M;68
2017/2018;24;Scienze e tecnologie farmaceutiche;F;346
2017/2018;24;Scienze e tecnologie farmaceutiche;M;113
2017/2018;24/S;Specialistiche in informatica per le discipline umanistiche;F;2
2017/2018;24/S;Specialistiche in informatica per le discipline umanistiche;M;2
2017/2018;25;Scienze e tecnologie fisiche;F;81
2017/2018;25;Scienze e tecnologie fisiche;M;168
2017/2018;25/S;Specialistiche in ingegneria aerospaziale e astronautica;F;4
2017/2018;25/S;Specialistiche in ingegneria aerospaziale e astronautica;M;24
2017/2018;26;Scienze e tecnologie informatiche;F;112
2017/2018;26;Scienze e tecnologie informatiche;M;700
2017/2018;26/S;Specialistiche in ingegneria biomedica;F;11
2017/2018;26/S;Specialistiche in ingegneria biomedica;M;11
2017/2018;27;Scienze e tecnologie per l'ambiente e la natura;F;136
2017/2018;27;Scienze e tecnologie per l'ambiente e la natura;M;115
2017/2018;27/S;Specialistiche in ingegneria chimica;F;7
2017/2018;27/S;Specialistiche in ingegneria chimica;M;2
2017/2018;28;Scienze economiche;F;579
2017/2018;28;Scienze economiche;M;475
2017/2018;28/S;Specialistiche in ingegneria civile;F;18
2017/2018;28/S;Specialistiche in ingegneria civile;M;58
2017/2018;29;Filosofia;F;211
2017/2018;29;Filosofia;M;169
2017/2018;29/S;Specialistiche in ingegneria dell'automazione;F;4
2017/2018;29/S;Specialistiche in ingegneria dell'automazione;M;15
2017/2018;30;Scienze geografiche;F;20
2017/2018;30;Scienze geografiche;M;18
2017/2018;30/S;Specialistiche in ingegneria delle telecomunicazioni;F;4
2017/2018;30/S;Specialistiche in ingegneria delle telecomunicazioni;M;30
2017/2018;31;Scienze giuridiche;F;594
2017/2018;31;Scienze giuridiche;M;354
2017/2018;31/S;Specialistiche in ingegneria elettrica;F;1
2017/2018;31/S;Specialistiche in ingegneria elettrica;M;15
2017/2018;31-bis;Scienze giuridiche - Quinquennale;F;87
2017/2018;31-bis;Scienze giuridiche - Quinquennale;M;36
2017/2018;32;Scienze matematiche;F;167
2017/2018;32;Scienze matematiche;M;109
2017/2018;32/S;Specialistiche in ingegneria elettronica;F;7
2017/2018;32/S;Specialistiche in ingegneria elettronica;M;53
2017/2018;33;Scienze delle attivita motorie e sportive;F;181
2017/2018;33;Scienze delle attivita motorie e sportive;M;388
2017/2018;33/S;Specialistiche in ingegneria energetica e nucleare;F;7
2017/2018;33/S;Specialistiche in ingegneria energetica e nucleare;M;11
2017/2018;34;Scienze e tecniche psicologiche;F;803
2017/2018;34;Scienze e tecniche psicologiche;M;226
2017/2018;34/S;Specialistiche in ingegneria gestionale;F;16
2017/2018;34/S;Specialistiche in ingegneria gestionale;M;45
2017/2018;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;F;53
2017/2018;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;M;30
2017/2018;35/S;Specialistiche in ingegneria informatica;F;13
2017/2018;35/S;Specialistiche in ingegneria informatica;M;89
2017/2018;36;Scienze sociologiche;F;199
2017/2018;36;Scienze sociologiche;M;90
2017/2018;36/S;Specialistiche in ingegneria meccanica;F;7
2017/2018;36/S;Specialistiche in ingegneria meccanica;M;83
2017/2018;37;Scienze statistiche;F;25
2017/2018;37;Scienze statistiche;M;30
2017/2018;37/S;Specialistiche in ingegneria navale;F;2
2017/2018;37/S;Specialistiche in ingegneria navale;M;3
2017/2018;38;Scienze storiche;F;109
2017/2018;38;Scienze storiche;M;165
2017/2018;38/S;Specialistiche in ingegneria per l'ambiente e il territorio;F;17
2017/2018;38/S;Specialistiche in ingegneria per l'ambiente e il territorio;M;26
2017/2018;39;Scienze del turismo;F;187
2017/2018;39;Scienze del turismo;M;37
2017/2018;39/S;Specialistiche in interpretariato di conferenza;F;3
2017/2018;40;Scienze e tecnologie zootecniche e delle produzioni animali;F;96
2017/2018;40;Scienze e tecnologie zootecniche e delle produzioni animali;M;40
2017/2018;40/S;Specialistiche in lingua e cultura italiana;F;9
2017/2018;40/S;Specialistiche in lingua e cultura italiana;M;2
2017/2018;41;Tecnologie per la conservazione e il restauro dei beni culturali;F;23
2017/2018;41;Tecnologie per la conservazione e il restauro dei beni culturali;M;6
2017/2018;41/S;Specialistiche in lingue e letterature afroasiatiche;F;1
2017/2018;41/S;Specialistiche in lingue e letterature afroasiatiche;M;1
2017/2018;42;Disegno industriale;F;43
2017/2018;42;Disegno industriale;M;56
2017/2018;42/S;Specialistiche in lingue e letterature moderne euroamericane;F;45
2017/2018;42/S;Specialistiche in lingue e letterature moderne euroamericane;M;6
2017/2018;43/S;Specialistiche in lingue straniere per la comunicazione internazionale;F;36
2017/2018;43/S;Specialistiche in lingue straniere per la comunicazione internazionale;M;2
2017/2018;44/S;Specialistiche in linguistica;F;11
2017/2018;44/S;Specialistiche in linguistica;M;5
2017/2018;45/S;Specialistiche in matematica;F;19
2017/2018;45/S;Specialistiche in matematica;M;10
2017/2018;46/S;Specialistiche in medicina e chirurgia;F;2523
2017/2018;46/S;Specialistiche in medicina e chirurgia;M;1718
2017/2018;47/S;Specialistiche in medicina veterinaria;F;561
2017/2018;47/S;Specialistiche in medicina veterinaria;M;232
2017/2018;50/S;Specialistiche in modellistica matematico-fisica per l'ingegneria;F;1
2017/2018;50/S;Specialistiche in modellistica matematico-fisica per l'ingegneria;M;1
2017/2018;51/S;Specialistiche in musicologia e beni musicali;F;4
2017/2018;51/S;Specialistiche in musicologia e beni musicali;M;3
2017/2018;52/S;Specialistiche in odontoiatria e protesi dentaria;F;60
2017/2018;52/S;Specialistiche in odontoiatria e protesi dentaria;M;120
2017/2018;53/S;Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie;F;6
2017/2018;53/S;Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie;M;2
2017/2018;54/S;Specialistiche in pianificazione territoriale urbanistica e ambientale;F;3
2017/2018;54/S;Specialistiche in pianificazione territoriale urbanistica e ambientale;M;4
2017/2018;55/S;Specialistiche in progettazione e gestione dei sistemi turistici;F;4
2017/2018;55/S;Specialistiche in progettazione e gestione dei sistemi turistici;M;3
2017/2018;56/S;Specialistiche in programmazione e gestione dei servizi educativi e formativi;F;17
2017/2018;57/S;Specialistiche in programmazione e gestione delle politiche e dei servizi sociali;F;78
2017/2018;57/S;Specialistiche in programmazione e gestione delle politiche e dei servizi sociali;M;6
2017/2018;58/S;Specialistiche in psicologia;F;138
2017/2018;58/S;Specialistiche in psicologia;M;31
2017/2018;59/S;Specialistiche in pubblicita e comunicazione d'impresa;F;6
2017/2018;59/S;Specialistiche in pubblicita e comunicazione d'impresa;M;1
2017/2018;60/S;Specialistiche in relazioni internazionali;F;24
2017/2018;60/S;Specialistiche in relazioni internazionali;M;22
2017/2018;61/S;Specialistiche in scienza e ingegneria dei materiali;M;6
2017/2018;62/S;Specialistiche in scienze chimiche;F;6
2017/2018;62/S;Specialistiche in scienze chimiche;M;6
2017/2018;64/S;Specialistiche in scienze dell'economia;F;33
2017/2018;64/S;Specialistiche in scienze dell'economia;M;36
2017/2018;65/S;Specialistiche in scienze dell'educazione degli adulti e della formazione continua;F;13
2017/2018;65/S;Specialistiche in scienze dell'educazione degli adulti e della formazione continua;M;1
2017/2018;66/S;Specialistiche in scienze dell'universo;M;4
2017/2018;67/S;Specialistiche in scienze della comunicazione sociale e istituzionale;F;8
2017/2018;67/S;Specialistiche in scienze della comunicazione sociale e istituzionale;M;4
2017/2018;68/S;Specialistiche in scienze della natura;F;6
2017/2018;69/S;Specialistiche in scienze della nutrizione umana;F;3
2017/2018;69/S;Specialistiche in scienze della nutrizione umana;M;1
2017/2018;70/S;Specialistiche in scienze della politica;F;19
2017/2018;70/S;Specialistiche in scienze della politica;M;17
2017/2018;71/S;Specialistiche in scienze delle pubbliche amministrazioni;F;13
2017/2018;71/S;Specialistiche in scienze delle pubbliche amministrazioni;M;22
2017/2018;72/S;Specialistiche in scienze delle religioni;F;5
2017/2018;72/S;Specialistiche in scienze delle religioni;M;3
2017/2018;73/S;Specialistiche in scienze dello spettacolo e della produzione multimediale;F;10
2017/2018;73/S;Specialistiche in scienze dello spettacolo e della produzione multimediale;M;5
2017/2018;74/S;Specialistiche in scienze e gestione delle risorse rurali e forestali;M;3
2017/2018;75/S;Specialistiche in scienze e tecnica dello sport;F;1
2017/2018;75/S;Specialistiche in scienze e tecnica dello sport;M;10
2017/2018;76/S;Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative;F;9
2017/2018;76/S;Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative;M;8
2017/2018;77/S;Specialistiche in scienze e tecnologie agrarie;F;5
2017/2018;77/S;Specialistiche in scienze e tecnologie agrarie;M;8
2017/2018;78/S;Specialistiche in scienze e tecnologie agroalimentari;F;3
2017/2018;78/S;Specialistiche in scienze e tecnologie agroalimentari;M;2
2017/2018;79/S;Specialistiche in scienze e tecnologie agrozootecniche;F;2
2017/2018;79/S;Specialistiche in scienze e tecnologie agrozootecniche;M;1
2017/2018;81/S;Specialistiche in scienze e tecnologie della chimica industriale;F;1
2017/2018;81/S;Specialistiche in scienze e tecnologie della chimica industriale;M;4
2017/2018;82/S;Specialistiche in scienze e tecnologie per l'ambiente e il territorio;F;4
2017/2018;82/S;Specialistiche in scienze e tecnologie per l'ambiente e il territorio;M;1
2017/2018;83/S;Specialistiche in scienze economiche per l'ambiente e la cultura;F;3
2017/2018;83/S;Specialistiche in scienze economiche per l'ambiente e la cultura;M;2
2017/2018;84/S;Specialistiche in scienze economico-aziendali;F;126
2017/2018;84/S;Specialistiche in scienze economico-aziendali;M;108
2017/2018;86/S;Specialistiche in scienze geologiche;F;4
2017/2018;86/S;Specialistiche in scienze geologiche;M;4
2017/2018;87/S;Specialistiche in scienze pedagogiche;F;40
2017/2018;87/S;Specialistiche in scienze pedagogiche;M;6
2017/2018;88/S;Specialistiche in scienze per la cooperazione allo sviluppo;F;3
2017/2018;88/S;Specialistiche in scienze per la cooperazione allo sviluppo;M;3
2017/2018;89/S;Specialistiche in sociologia;F;23
2017/2018;89/S;Specialistiche in sociologia;M;11
2017/2018;90/S;Specialistiche in statistica demografica e sociale;F;1
2017/2018;90/S;Specialistiche in statistica demografica e sociale;M;1
2017/2018;91/S;Specialistiche in statistica economica, finanziaria ed attuariale;F;9
2017/2018;91/S;Specialistiche in statistica economica, finanziaria ed attuariale;M;4
2017/2018;92/S;Specialistiche in statistica per la ricerca sperimentale;M;3
2017/2018;93/S;Specialistiche in storia antica;M;1
2017/2018;94/S;Specialistiche in storia contemporanea;F;12
2017/2018;94/S;Specialistiche in storia contemporanea;M;6
2017/2018;95/S;Specialistiche in storia dell'arte;F;39
2017/2018;95/S;Specialistiche in storia dell'arte;M;4
2017/2018;96/S;Specialistiche in storia della filosofia;F;14
2017/2018;96/S;Specialistiche in storia della filosofia;M;8
2017/2018;97/S;Specialistiche in storia medievale;F;4
2017/2018;97/S;Specialistiche in storia medievale;M;7
2017/2018;98/S;Specialistiche in storia moderna;F;3
2017/2018;98/S;Specialistiche in storia moderna;M;5
2017/2018;99/S;Specialistiche in studi europei;F;8
2017/2018;99/S;Specialistiche in studi europei;M;5
2017/2018;99999;Classe non definita;F;10944
2017/2018;99999;Classe non definita;M;7284
2017/2018;DS1;Scienze della difesa e della sicurezza;F;130
2017/2018;DS1;Scienze della difesa e della sicurezza;M;524
2017/2018;DS1/S;Specialistiche nelle scienze della difesa e della sicurezza;F;54
2017/2018;DS1/S;Specialistiche nelle scienze della difesa e della sicurezza;M;349
2017/2018;L/DS;Scienze della difesa e della sicurezza;F;145
2017/2018;L/DS;Scienze della difesa e della sicurezza;M;425
2017/2018;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;F;34549
2017/2018;L/SNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;M;12295
2017/2018;L/SNT2;Professioni sanitarie della riabilitazione;F;8862
2017/2018;L/SNT2;Professioni sanitarie della riabilitazione;M;5395
2017/2018;L/SNT3;Professioni sanitarie tecniche;F;5910
2017/2018;L/SNT3;Professioni sanitarie tecniche;M;3748
2017/2018;L/SNT4;Professioni sanitarie della prevenzione;F;1351
2017/2018;L/SNT4;Professioni sanitarie della prevenzione;M;1137
2017/2018;L-01;Beni culturali;F;15361
2017/2018;L-01;Beni culturali;M;5095
2017/2018;L-02;Biotecnologie;F;10402
2017/2018;L-02;Biotecnologie;M;5618
2017/2018;L-03;Discipline delle arti figurative, della musica, dello spettacolo e della moda;F;6932
2017/2018;L-03;Discipline delle arti figurative, della musica, dello spettacolo e della moda;M;3731
2017/2018;L-04;Disegno industriale;F;5594
2017/2018;L-04;Disegno industriale;M;4027
2017/2018;L-05;Filosofia;F;6092
2017/2018;L-05;Filosofia;M;6440
2017/2018;L-06;Geografia;F;327
2017/2018;L-06;Geografia;M;401
2017/2018;L-07;Ingegneria civile e ambientale;F;6373
2017/2018;L-07;Ingegneria civile e ambientale;M;16205
2017/2018;L-08;Ingegneria dell'informazione;F;11208
2017/2018;L-08;Ingegneria dell'informazione;M;43340
2017/2018;L-09;Ingegneria industriale;F;18027
2017/2018;L-09;Ingegneria industriale;M;63229
2017/2018;L-10;Lettere;F;23039
2017/2018;L-10;Lettere;M;9162
2017/2018;L-11;Lingue e culture moderne;F;39929
2017/2018;L-11;Lingue e culture moderne;M;9995
2017/2018;L-12;Mediazione linguistica;F;27029
2017/2018;L-12;Mediazione linguistica;M;5854
2017/2018;L-13;Scienze biologiche;F;19941
2017/2018;L-13;Scienze biologiche;M;7581
2017/2018;L-14;Scienze dei servizi giuridici;F;12091
2017/2018;L-14;Scienze dei servizi giuridici;M;9014
2017/2018;L-15;Scienze del turismo;F;7002
2017/2018;L-15;Scienze del turismo;M;2640
2017/2018;L-16;Scienze dell'amministrazione e dell'organizzazione;F;5320
2017/2018;L-16;Scienze dell'amministrazione e dell'organizzazione;M;4320
2017/2018;L-17;Scienze dell'architettura;F;6302
2017/2018;L-17;Scienze dell'architettura;M;5237
2017/2018;L-18;Scienze dell'economia e della gestione aziendale;F;54739
2017/2018;L-18;Scienze dell'economia e della gestione aziendale;M;70882
2017/2018;L-19;Scienze dell'educazione e della formazione;F;42888
2017/2018;L-19;Scienze dell'educazione e della formazione;M;4648
2017/2018;L-20;Scienze della comunicazione;F;23374
2017/2018;L-20;Scienze della comunicazione;M;13760
2017/2018;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;F;757
2017/2018;L-21;Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale;M;1179
2017/2018;L-22;Scienze delle attività motorie e sportive;F;9800
2017/2018;L-22;Scienze delle attività motorie e sportive;M;23995
2017/2018;L-23;Scienze e tecniche dell'edilizia;F;1911
2017/2018;L-23;Scienze e tecniche dell'edilizia;M;2851
2017/2018;L-24;Scienze e tecniche psicologiche;F;31097
2017/2018;L-24;Scienze e tecniche psicologiche;M;9800
2017/2018;L-25;Scienze e tecnologie agrarie e forestali;F;4421
2017/2018;L-25;Scienze e tecnologie agrarie e forestali;M;10951
